Country Name,Country Code,Series Name,Series Code,1990 [YR1990]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,12067570
Afghanistan,AFG,Rural population,SP.RUR.TOTL,9857274
Afghanistan,AFG,Urban population,SP.URB.TOTL,2210296
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,16.315
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,48.5670487804878
Albania,ALB,"Population, total",SP.POP.TOTL,3286542
Albania,ALB,Rural population,SP.RUR.TOTL,2089320
Albania,ALB,Urban population,SP.URB.TOTL,1197222
Albania,ALB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.705
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.9573170731707
Algeria,DZA,"Population, total",SP.POP.TOTL,25912364
Algeria,DZA,Rural population,SP.RUR.TOTL,12415909
Algeria,DZA,Urban population,SP.URB.TOTL,13496455
Algeria,DZA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.154
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.7511707317073
American Samoa,ASM,"Population, total",SP.POP.TOTL,47044
American Samoa,ASM,Rural population,SP.RUR.TOTL,8963
American Samoa,ASM,Urban population,SP.URB.TOTL,38081
American Samoa,ASM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Andorra,ADO,"Population, total",SP.POP.TOTL,54511
Andorra,ADO,Rural population,SP.RUR.TOTL,2883
Andorra,ADO,Urban population,SP.URB.TOTL,51628
Andorra,ADO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
Andorra,ADO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Angola,AGO,"Population, total",SP.POP.TOTL,11127870
Angola,AGO,Rural population,SP.RUR.TOTL,8281138
Angola,AGO,Urban population,SP.URB.TOTL,2846732
Angola,AGO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,23.443
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,41.1383414634146
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,61906
Antigua and Barbuda,ATG,Rural population,SP.RUR.TOTL,39975
Antigua and Barbuda,ATG,Urban population,SP.URB.TOTL,21931
Antigua and Barbuda,ATG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.137
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.1629512195122
Arab World,ARB,"Population, total",SP.POP.TOTL,221928852
Arab World,ARB,Rural population,SP.RUR.TOTL,110038763
Arab World,ARB,Urban population,SP.URB.TOTL,111890089
Arab World,ARB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.832823390016
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.6257055884038
Argentina,ARG,"Population, total",SP.POP.TOTL,32729740
Argentina,ARG,Rural population,SP.RUR.TOTL,4260103
Argentina,ARG,Urban population,SP.URB.TOTL,28469637
Argentina,ARG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.271
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.5436585365854
Armenia,ARM,"Population, total",SP.POP.TOTL,3544695
Armenia,ARM,Rural population,SP.RUR.TOTL,1154826
Armenia,ARM,Urban population,SP.URB.TOTL,2389869
Armenia,ARM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.453
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.7478048780488
Aruba,ABW,"Population, total",SP.POP.TOTL,62148
Aruba,ABW,Rural population,SP.RUR.TOTL,30876
Aruba,ABW,Urban population,SP.URB.TOTL,31272
Aruba,ABW,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.061
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.3899756097561
Australia,AUS,"Population, total",SP.POP.TOTL,17065100
Australia,AUS,Rural population,SP.RUR.TOTL,2491505
Australia,AUS,Urban population,SP.URB.TOTL,14573595
Australia,AUS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.9946341463415
Austria,AUT,"Population, total",SP.POP.TOTL,7677850
Austria,AUT,Rural population,SP.RUR.TOTL,2628512
Austria,AUT,Urban population,SP.URB.TOTL,5049338
Austria,AUT,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.8
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.5682926829269
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,7159000
Azerbaijan,AZE,Rural population,SP.RUR.TOTL,3311109
Azerbaijan,AZE,Urban population,SP.URB.TOTL,3847891
Azerbaijan,AZE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.1
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.7463658536585
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,256338
"Bahamas, The",BHS,Rural population,SP.RUR.TOTL,51683
"Bahamas, The",BHS,Urban population,SP.URB.TOTL,204655
"Bahamas, The",BHS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.495
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.6306585365854
Bahrain,BHR,"Population, total",SP.POP.TOTL,495944
Bahrain,BHR,Rural population,SP.RUR.TOTL,58819
Bahrain,BHR,Urban population,SP.URB.TOTL,437125
Bahrain,BHR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,3.387
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.507243902439
Bangladesh,BGD,"Population, total",SP.POP.TOTL,105983136
Bangladesh,BGD,Rural population,SP.RUR.TOTL,84986817
Bangladesh,BGD,Urban population,SP.URB.TOTL,20996319
Bangladesh,BGD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.066
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.0084878048781
Barbados,BRB,"Population, total",SP.POP.TOTL,260374
Barbados,BRB,Rural population,SP.RUR.TOTL,175362
Barbados,BRB,Urban population,SP.URB.TOTL,85012
Barbados,BRB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.747
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.8745365853659
Belarus,BLR,"Population, total",SP.POP.TOTL,10189000
Belarus,BLR,Rural population,SP.RUR.TOTL,3466196
Belarus,BLR,Urban population,SP.URB.TOTL,6722804
Belarus,BLR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.7
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.8365853658537
Belgium,BEL,"Population, total",SP.POP.TOTL,9967379
Belgium,BEL,Rural population,SP.RUR.TOTL,361118
Belgium,BEL,Urban population,SP.URB.TOTL,9606261
Belgium,BEL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.4
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.0519512195122
Belize,BLZ,"Population, total",SP.POP.TOTL,187552
Belize,BLZ,Rural population,SP.RUR.TOTL,98530
Belize,BLZ,Urban population,SP.URB.TOTL,89022
Belize,BLZ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.442
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.181243902439
Benin,BEN,"Population, total",SP.POP.TOTL,5001271
Benin,BEN,Rural population,SP.RUR.TOTL,3276583
Benin,BEN,Urban population,SP.URB.TOTL,1724688
Benin,BEN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,14.471
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.42
Bermuda,BMU,"Population, total",SP.POP.TOTL,59326
Bermuda,BMU,Rural population,SP.RUR.TOTL,0
Bermuda,BMU,Urban population,SP.URB.TOTL,59326
Bermuda,BMU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.3
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Bhutan,BTN,"Population, total",SP.POP.TOTL,535505
Bhutan,BTN,Rural population,SP.RUR.TOTL,447746
Bhutan,BTN,Urban population,SP.URB.TOTL,87759
Bhutan,BTN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,13.39
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.4643170731707
Bolivia,BOL,"Population, total",SP.POP.TOTL,6856246
Bolivia,BOL,Rural population,SP.RUR.TOTL,3045750
Bolivia,BOL,Urban population,SP.URB.TOTL,3810496
Bolivia,BOL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.486
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.7785853658537
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,4526996
Bosnia and Herzegovina,BIH,Rural population,SP.RUR.TOTL,2750195
Bosnia and Herzegovina,BIH,Urban population,SP.URB.TOTL,1776801
Bosnia and Herzegovina,BIH,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.673
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.4463902439025
Botswana,BWA,"Population, total",SP.POP.TOTL,1379814
Botswana,BWA,Rural population,SP.RUR.TOTL,801217
Botswana,BWA,Urban population,SP.URB.TOTL,578597
Botswana,BWA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.067
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.935512195122
Brazil,BRA,"Population, total",SP.POP.TOTL,150393143
Brazil,BRA,Rural population,SP.RUR.TOTL,39219524
Brazil,BRA,Urban population,SP.URB.TOTL,111173619
Brazil,BRA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.013
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.515
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,256939
Brunei Darussalam,BRN,Rural population,SP.RUR.TOTL,87788
Brunei Darussalam,BRN,Urban population,SP.URB.TOTL,169151
Brunei Darussalam,BRN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,3.547
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.7164878048781
Bulgaria,BGR,"Population, total",SP.POP.TOTL,8718289
Bulgaria,BGR,Rural population,SP.RUR.TOTL,2931350
Bulgaria,BGR,Urban population,SP.URB.TOTL,5786939
